,title,artist,title_lower,artist_lower,artist_lower_clean,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,Mood,24kGoldn Featuring iann dior,mood,24kgoldn featuring iann dior,24kgoldn iann dior,0.7,0.722,7.0,-3.558,0.0,0.0369,0.221,0.0,0.272,0.756,90.989,3tjFYV6RSFtuktYl3ZtYcq
1,Therefore I Am,Billie Eilish,therefore i am,billie eilish,billie eilish,0.889,0.34,11.0,-7.773,0.0,0.0697,0.218,0.13,0.055,0.716,94.009,54bFM56PmE4YLRnqpW6Tha
2,Positions,Ariana Grande,positions,ariana grande,ariana grande,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,35mvY5S1H3J2QZyna3TFe0
3,I Hope,Gabby Barrett Featuring Charlie Puth,i hope,gabby barrett featuring charlie puth,gabby barrett charlie puth,0.554,0.576,6.0,-6.495,1.0,0.0399,0.171,0.0,0.159,0.409,74.942,5cYFwgA5dHoqR3xGnlr9ew
4,Laugh Now Cry Later,Drake Featuring Lil Durk,laugh now cry later,drake featuring lil durk,drake lil durk,0.761,0.518,0.0,-8.871,1.0,0.134,0.244,3.47e-05,0.107,0.522,133.976,2SAqBLGA283SUiwJ3xOUVI
5,Holy,Justin Bieber Featuring Chance The Rapper,holy,justin bieber featuring chance the rapper,justin bieber chance the rapper,0.673,0.704,6.0,-8.056,1.0,0.36,0.196,0.0,0.0898,0.372,86.919,5u1n1kITHCxxp8twBcZxWy
6,Blinding Lights,The Weeknd,blinding lights,the weeknd,the weeknd,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b
7,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,lemonade,internet money & gunna featuring don toliver & nav,internet money gunna don toliver nav,0.799,0.66,1.0,-6.153,0.0,0.079,0.256,0.0,0.111,0.471,140.04,02kDW379Yfd5PzW5A6vuGt
8,Dakiti,Bad Bunny & Jhay Cortez,dakiti,bad bunny & jhay cortez,bad bunny jhay cortez,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,47EiUVwUp4C9fGccaPuUCS
9,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,for the night,pop smoke featuring lil baby & dababy,pop smoke lil baby dababy,0.823,0.586,6.0,-6.606,0.0,0.2,0.114,0.0,0.193,0.347,125.971,0PvFJmanyNQMseIFrU708S
10,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,savage love (laxed - siren beat),jawsh 685 x jason derulo,jawsh 685 jason derulo,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c
11,Go Crazy,Chris Brown & Young Thug,go crazy,chris brown & young thug,chris brown young thug,0.755,0.578,0.0,-8.932,0.0,0.145,0.316,0.0,0.25,0.581,94.148,1IIKrJVP1C9N7iPtG6eOsK
12,Kings & Queens,Ava Max,kings & queens,ava max,ava max,0.661,0.779,1.0,-3.995,0.0,0.0678,0.00604,0.0,0.218,0.67,129.911,5rB5mfeFCkUI3nkHQMMZ3K
13,Dynamite,BTS,dynamite,bts,bts,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,0t1kP63rueHleOhQkYSXFY
14,More Than My Hometown,Morgan Wallen,more than my hometown,morgan wallen,morgan wallen,0.621,0.882,6.0,-5.01,1.0,0.0459,0.601,0.0,0.132,0.574,126.014,0eBXyY4SatzpE7opnzgXvz
15,WAP,Cardi B Featuring Megan Thee Stallion,wap,cardi b featuring megan thee stallion,cardi b megan thee stallion,0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,4Oun2ylbjFKMPTiaSbbCih
16,Rockstar,DaBaby Featuring Roddy Ricch,rockstar,dababy featuring roddy ricch,dababy roddy ricch,0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,7ytR5pFWmSjzHJIeQkgog4
17,Before You Go,Lewis Capaldi,before you go,lewis capaldi,lewis capaldi,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,7ce20yLkzuXXLUhzIDoZih
18,Be Like That,Kane Brown With Swae Lee & Khalid,be like that,kane brown with swae lee & khalid,kane brown  swae lee khalid,0.727,0.626,7.0,-8.415,1.0,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,5f1joOtoMeyppIcJGZQvqJ
19,Levitating,Dua Lipa Featuring DaBaby,levitating,dua lipa featuring dababy,dua lipa dababy,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,463CkQjx2Zk1yXoBuierM9
20,Watermelon Sugar,Harry Styles,watermelon sugar,harry styles,harry styles,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY
21,Hawai,Maluma & The Weeknd,hawai,maluma & the weeknd,maluma the weeknd,0.766,0.788,6.0,-3.128,0.0,0.312,0.105,5.81e-06,0.142,0.609,179.984,0GzuHFG4Ql6DoyxFRnIk3F
22,ily,surf mesa Featuring Emilee,ily,surf mesa featuring emilee,surf mesa emilee,0.674,0.774,11.0,-7.567,0.0,0.0892,0.0686,0.00188,0.393,0.33,112.05,62aP9fBQKYKxi7PDXwcUAS
23,Bang!,AJR,bang!,ajr,ajr,0.74,0.516,1.0,-6.233,0.0,0.0507,0.0183,0.0,0.0558,0.698,139.918,53BHUFdQphHiZUUG3nx9zn
24,Starting Over,Chris Stapleton,starting over,chris stapleton,chris stapleton,0.638,0.538,10.0,-8.445,1.0,0.0315,0.452,0.000415,0.0695,0.318,89.124,3TNSVsiFngfe68UJpMq1oS
25,Lonely,Justin Bieber & benny blanco,lonely,justin bieber & benny blanco,justin bieber benny blanco,0.631,0.239,11.0,-7.071,0.0,0.0398,0.864,0.0,0.116,0.0927,79.859,4y4spB9m0Q6026KfkAvy9Q
26,34+35,Ariana Grande,34+35,ariana grande,ariana grande,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,6Im9k8u9iIzKMrmV7BWtlF
27,Said Sum,Moneybagg Yo,said sum,moneybagg yo,moneybagg yo,0.929,0.667,8.0,-6.789,0.0,0.353,0.0185,0.0,0.1,0.274,126.998,3sKz6Sd72K0ofPWcJPPk6H
28,All I Want For Christmas Is You,Mariah Carey,all i want for christmas is you,mariah carey,mariah carey,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,0bYg9bo50gSsH3LtXe2SQn
29,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",whats poppin,"jack harlow featuring dababy, tory lanez & lil wayne","jack harlow dababy, tory lanez lil wayne",0.904,0.723,11.0,-5.224,0.0,0.26,0.0631,0.0,0.185,0.835,145.013,2MbdDtCv5LUVjYy9RuGTgC
30,Drankin N Smokin,Future & Lil Uzi Vert,drankin n smokin,future & lil uzi vert,future lil uzi vert,0.752,0.658,0.0,-6.297,1.0,0.342,0.0421,0.0,0.0927,0.387,151.951,0k7wmahjkn389wAZdz19Cv
31,What You Know Bout Love,Pop Smoke,what you know bout love,pop smoke,pop smoke,0.709,0.548,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.543,83.995,1tkg4EHVoqnhR6iFEXb60y
32,One Of Them Girls,Lee Brice,one of them girls,lee brice,lee brice,0.643,0.79,4.0,-6.079,1.0,0.0462,0.294,0.0,0.107,0.8,95.987,14GwnOeC9qYEKEA6uOZepa
33,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,one beer,hardy featuring lauren alaina & devin dawson,hardy lauren alaina devin dawson,0.516,0.745,2.0,-8.352,1.0,0.0774,0.564,0.0,0.275,0.826,186.006,5Y05LYM8LhnQN78GqfjSeK
34,Love You Like I Used To,Russell Dickerson,love you like i used to,russell dickerson,russell dickerson,0.501,0.788,10.0,-4.624,1.0,0.0415,0.12,0.0,0.137,0.61,152.047,1D7cfiC5mxqHfTCcOiRBej
35,Pretty Heart,Parker McCollum,pretty heart,parker mccollum,parker mccollum,0.562,0.683,7.0,-4.427,1.0,0.0296,0.00531,0.0,0.107,0.385,132.003,6vC90OOjZR165Hw8CpsqEm
36,Holiday,Lil Nas X,holiday,lil nas x,lil nas x,0.81,0.511,5.0,-6.924,0.0,0.164,0.12,0.0,0.0832,0.837,151.947,6zFMeegAMYQo0mt8rXtrli
37,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,happy anywhere,blake shelton featuring gwen stefani,blake shelton gwen stefani,0.538,0.745,8.0,-5.774,1.0,0.0387,0.1,0.0,0.063,0.669,165.755,2DwbFtfC6sXBiVDPmju8Dd
38,Better Together,Luke Combs,better together,luke combs,luke combs,0.552,0.225,0.0,-11.501,1.0,0.0477,0.827,0.0,0.111,0.67,138.002,6gdLyYNuhWBzqwlOFSsXC7
39,Forever After All,Luke Combs,forever after all,luke combs,luke combs,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,6IBcOGPsniK3Pso1wHIhew
40,Got What I Got,Jason Aldean,got what i got,jason aldean,jason aldean,0.512,0.58,3.0,-6.658,0.0,0.029,0.621,1.72e-05,0.513,0.303,159.847,4TCc369aRPRubv1m8R1TBG
